,index,classifier,accuracy
114,115,Decision Tree,73.40425532
52,53,Decision Tree,72.34042553
68,69,Decision Tree,71.80851064
151,152,Decision Tree,71.80851064
183,184,Decision Tree,71.80851064
30,31,Decision Tree,71.27659574
106,107,Decision Tree,71.27659574
24,25,Decision Tree,70.74468085
139,140,Decision Tree,70.74468085
150,151,Decision Tree,70.74468085
8,9,Decision Tree,70.21276596
11,12,Decision Tree,70.21276596
100,101,Decision Tree,70.21276596
108,109,Decision Tree,70.21276596
109,110,Decision Tree,70.21276596
188,189,Decision Tree,70.21276596
13,14,Decision Tree,69.68085106
71,72,Decision Tree,69.68085106
99,100,Decision Tree,69.68085106
159,160,Decision Tree,69.68085106
179,180,Decision Tree,69.68085106
45,46,Decision Tree,69.14893617
89,90,Decision Tree,69.14893617
103,104,Decision Tree,69.14893617
113,114,Decision Tree,69.14893617
129,130,Decision Tree,69.14893617
180,181,Decision Tree,69.14893617
187,188,Decision Tree,69.14893617
14,15,Decision Tree,68.61702128
23,24,Decision Tree,68.61702128
41,42,Decision Tree,68.61702128
7,8,Decision Tree,68.08510638
27,28,Decision Tree,68.08510638
76,77,Decision Tree,68.08510638
79,80,Decision Tree,68.08510638
86,87,Decision Tree,68.08510638
91,92,Decision Tree,68.08510638
104,105,Decision Tree,68.08510638
134,135,Decision Tree,68.08510638
138,139,Decision Tree,68.08510638
154,155,Decision Tree,68.08510638
0,1,Decision Tree,67.55319149
21,22,Decision Tree,67.55319149
53,54,Decision Tree,67.55319149
83,84,Decision Tree,67.55319149
95,96,Decision Tree,67.55319149
189,190,Decision Tree,67.55319149
3,4,Decision Tree,67.0212766
6,7,Decision Tree,67.0212766
29,30,Decision Tree,67.0212766
54,55,Decision Tree,67.0212766
69,70,Decision Tree,67.0212766
70,71,Decision Tree,67.0212766
72,73,Decision Tree,67.0212766
90,91,Decision Tree,67.0212766
125,126,Decision Tree,67.0212766
130,131,Decision Tree,67.0212766
153,154,Decision Tree,67.0212766
173,174,Decision Tree,67.0212766
191,192,Decision Tree,67.0212766
194,195,Decision Tree,67.0212766
17,18,Decision Tree,66.4893617
18,19,Decision Tree,66.4893617
20,21,Decision Tree,66.4893617
39,40,Decision Tree,66.4893617
42,43,Decision Tree,66.4893617
62,63,Decision Tree,66.4893617
64,65,Decision Tree,66.4893617
127,128,Decision Tree,66.4893617
144,145,Decision Tree,66.4893617
158,159,Decision Tree,66.4893617
172,173,Decision Tree,66.4893617
174,175,Decision Tree,66.4893617
177,178,Decision Tree,66.4893617
196,197,Decision Tree,66.4893617
198,199,Decision Tree,66.4893617
199,200,Decision Tree,66.4893617
33,34,Decision Tree,65.95744681
37,38,Decision Tree,65.95744681
40,41,Decision Tree,65.95744681
47,48,Decision Tree,65.95744681
66,67,Decision Tree,65.95744681
82,83,Decision Tree,65.95744681
92,93,Decision Tree,65.95744681
98,99,Decision Tree,65.95744681
115,116,Decision Tree,65.95744681
126,127,Decision Tree,65.95744681
140,141,Decision Tree,65.95744681
152,153,Decision Tree,65.95744681
155,156,Decision Tree,65.95744681
168,169,Decision Tree,65.95744681
181,182,Decision Tree,65.95744681
5,6,Decision Tree,65.42553191
26,27,Decision Tree,65.42553191
35,36,Decision Tree,65.42553191
77,78,Decision Tree,65.42553191
81,82,Decision Tree,65.42553191
88,89,Decision Tree,65.42553191
94,95,Decision Tree,65.42553191
118,119,Decision Tree,65.42553191
132,133,Decision Tree,65.42553191
133,134,Decision Tree,65.42553191
142,143,Decision Tree,65.42553191
146,147,Decision Tree,65.42553191
149,150,Decision Tree,65.42553191
161,162,Decision Tree,65.42553191
186,187,Decision Tree,65.42553191
12,13,Decision Tree,64.89361702
19,20,Decision Tree,64.89361702
44,45,Decision Tree,64.89361702
55,56,Decision Tree,64.89361702
58,59,Decision Tree,64.89361702
80,81,Decision Tree,64.89361702
117,118,Decision Tree,64.89361702
143,144,Decision Tree,64.89361702
145,146,Decision Tree,64.89361702
156,157,Decision Tree,64.89361702
157,158,Decision Tree,64.89361702
165,166,Decision Tree,64.89361702
167,168,Decision Tree,64.89361702
171,172,Decision Tree,64.89361702
9,10,Decision Tree,64.36170213
48,49,Decision Tree,64.36170213
59,60,Decision Tree,64.36170213
60,61,Decision Tree,64.36170213
75,76,Decision Tree,64.36170213
105,106,Decision Tree,64.36170213
122,123,Decision Tree,64.36170213
135,136,Decision Tree,64.36170213
136,137,Decision Tree,64.36170213
176,177,Decision Tree,64.36170213
16,17,Decision Tree,63.82978723
50,51,Decision Tree,63.82978723
51,52,Decision Tree,63.82978723
56,57,Decision Tree,63.82978723
87,88,Decision Tree,63.82978723
110,111,Decision Tree,63.82978723
160,161,Decision Tree,63.82978723
162,163,Decision Tree,63.82978723
163,164,Decision Tree,63.82978723
182,183,Decision Tree,63.82978723
185,186,Decision Tree,63.82978723
2,3,Decision Tree,63.29787234
15,16,Decision Tree,63.29787234
28,29,Decision Tree,63.29787234
57,58,Decision Tree,63.29787234
63,64,Decision Tree,63.29787234
67,68,Decision Tree,63.29787234
78,79,Decision Tree,63.29787234
93,94,Decision Tree,63.29787234
123,124,Decision Tree,63.29787234
141,142,Decision Tree,63.29787234
148,149,Decision Tree,63.29787234
164,165,Decision Tree,63.29787234
169,170,Decision Tree,63.29787234
170,171,Decision Tree,63.29787234
190,191,Decision Tree,63.29787234
193,194,Decision Tree,63.29787234
1,2,Decision Tree,62.76595745
4,5,Decision Tree,62.76595745
46,47,Decision Tree,62.76595745
85,86,Decision Tree,62.76595745
102,103,Decision Tree,62.76595745
107,108,Decision Tree,62.76595745
111,112,Decision Tree,62.76595745
112,113,Decision Tree,62.76595745
119,120,Decision Tree,62.76595745
147,148,Decision Tree,62.76595745
195,196,Decision Tree,62.76595745
36,37,Decision Tree,62.23404255
38,39,Decision Tree,62.23404255
43,44,Decision Tree,62.23404255
96,97,Decision Tree,62.23404255
116,117,Decision Tree,62.23404255
120,121,Decision Tree,62.23404255
137,138,Decision Tree,62.23404255
175,176,Decision Tree,62.23404255
10,11,Decision Tree,61.70212766
34,35,Decision Tree,61.70212766
73,74,Decision Tree,61.70212766
131,132,Decision Tree,61.70212766
31,32,Decision Tree,61.17021277
61,62,Decision Tree,61.17021277
65,66,Decision Tree,61.17021277
124,125,Decision Tree,61.17021277
128,129,Decision Tree,61.17021277
22,23,Decision Tree,60.63829787
25,26,Decision Tree,60.63829787
84,85,Decision Tree,60.63829787
121,122,Decision Tree,60.63829787
178,179,Decision Tree,60.63829787
74,75,Decision Tree,60.10638298
97,98,Decision Tree,60.10638298
32,33,Decision Tree,59.57446809
49,50,Decision Tree,59.57446809
166,167,Decision Tree,59.57446809
184,185,Decision Tree,59.57446809
192,193,Decision Tree,59.57446809
197,198,Decision Tree,59.57446809
101,102,Decision Tree,58.5106383